strategy,12/9/2022,13/09/2022,14/09/2022,15/09/2022,16/09/2022,19/09/2022,20/09/2022,21/09/2022,22/09/2022,26/09/2022,27/09/2022,28/09/2022,29/09/2022,30/09/2022,3/10/2022,4/10/2022,5/10/2022,6/10/2022,7/10/2022,11/10/2022,12/10/2022,13/10/2022,14/10/2022,17/10/2022,18/10/2022,19/10/2022,20/10/2022,21/10/2022,25/10/2022,26/10/2022,28/10/2022,31/10/2022,1/11/2022,2/11/2022,3/11/2022,4/11/2022,8/11/2022,9/11/2022,10/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,18/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,28/11/2022,29/11/2022,30/11/2022,1/12/2022,2/12/2022,5/12/2022,6/12/2022,7/12/2022,8/12/2022,9/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,21/12/2022,,,,
strat_1a_twitter_sentiment_vader,-0.03146339,-0.967230972,-0.052399595,-2.027823754,1.327907446,1.781877945,-0.669904559,,-0.192733095,-0.594965675,0.216479231,1.143760467,1.191238617,0.18753558,,0.044466635,0.098682019,-1.215468291,-0.476693137,,0.146138411,,-0.54728411,-1.564041413,-1.257242144,-1.201317245,,2.147702141,-0.005339739,0.184836547,,0.092671144,0.190288641,-0.606613275,-0.572727019,,3.219818192,2.138624302,-1.733387236,-0.206582955,-1.577269805,,-0.57964957,0.548378109,1.564774757,-1.108060433,-0.166758088,-0.081227031,-0.33010289,0.63457109,1.976081686,2.756712397,0.062622266,1.781826607,-0.615645385,-1.076836617,1.562233996,-1.281399417,-1.959312863,-0.597261158,0.266874498,0.381055673,-2.012148284,-0.685325395,,,,,
strat_1b_twitter_sentiment_flair,-0.065354642,-0.924353545,-1.114596432,-1.630584017,0.281956993,,-0.465290539,,-0.295532026,-2.660504836,-0.898916783,1.119920381,0.28875572,1.395161406,,-0.440138473,,1.283641656,-0.492916354,-0.207369131,-0.260229584,4.705809879,-1.142626312,-1.765728151,-1.347166286,-0.584873535,-0.958883039,0.400972795,-0.249896653,-0.014048437,0.811157643,-0.023682018,-1.604024641,-0.238823406,,,1.933680626,-3.82067413,-2.921539019,,-2.266351361,-0.532615575,,0.13962872,0.205773083,-0.570288314,,0.500488289,0.432145137,-2.460417516,,3.126110335,1.46868538,1.184578912,-0.86418693,-3.310407743,-0.612787646,-1.034275116,-1.575254275,-0.669621847,,-0.408950725,-1.07474141,0.026587467,,,,,
strat_2a_finviz_rel_vol_change,8.713862705,-5.36022945,0.212296311,-3.067765659,-0.903698462,2.751631289,-4.450616563,-2.306076717,-0.887011037,-3.889926976,-2.098407388,3.990475331,-5.416321993,-10.25053608,4.984698372,1.487586883,-3.689364167,-1.5836895,-7.889282368,-0.974144033,-2.043091907,-4.506596123,-3.191930443,3.815386924,-4.382747345,0.36218206,,-3.90429182,2.916918623,24.24921395,-11.32365996,-3.106961587,-1.878321948,-0.395380048,5.38598941,2.293336883,1.88852914,-5.459061596,1.178402619,5.966429436,-9.563287886,-4.950002944,-0.111749868,10.29193324,-1.161942522,5.988079423,9.16316943,0,-0.160776012,-4.712667484,7.298415264,-9.373603277,4.861533597,-0.10700161,2.015457302,-4.490370339,-4.852139308,-0.486070488,-2.313720656,-5.500119035,-7.03995719,9.093606736,6.4442264,-1.456748934,,,,,
strat_2a_finviz_rel_vol_market_cap,-0.06177482,-2.123460127,0.18914684,-4.324570247,-0.682214519,3.499137488,-0.948588934,-0.731654029,-0.827249677,-1.377998302,1.938933506,1.653987004,-5.416321993,-0.67334713,1.010256271,1.244212006,1.755784194,0.98086366,-1.099635737,0.700285722,-0.00565999,-8.013704972,-1.957770656,-0.426969289,-0.582466419,0.349248161,,3.054431168,1.119159307,1.614155603,0.911123013,-1.957360399,-1.440576325,-1.862417597,2.333225965,0.269899313,4.16776194,-4.801256297,0.974068048,0.740205269,-0.96420891,-2.488583714,2.475256602,-0.382119348,3.624509376,0.709697118,-1.3022317,0,-0.603643284,-1.132975824,-0.99270985,1.55446521,-0.383961341,1.51296167,-2.46047484,-3.27440144,0.332069594,-1.309238344,-4.715827778,-0.428074175,-2.532122665,0.434787059,-1.987253981,0.303547543,,,,,
strat_2a_finviz_rel_vol_sorted_change_min_market_cap,3.275778965,-1.718022076,-0.035714993,-23.96292538,-11.44230162,1.154486402,0.285027001,-3.619262969,0.001203132,-1.491093433,-2.535078598,3.79106708,-3.104750642,-1.009616411,1.112167087,-2.433501836,2.099676035,-0.012888864,0.459960396,2.753165789,-5.697231523,2.289466578,-0.085059628,1.015018445,-3.288060553,-1.951102945,,4.076418094,-1.519546287,4.176854036,,,-3.543186811,-3.98896337,-0.565256127,-0.427455935,0.590649262,-2.768478167,-1.680588621,4.372463254,1.832231994,-3.898862896,5.355730579,-2.134254119,-0.459328858,1.261559245,1.633277634,0,-0.462728563,-4.293505245,-0.028066189,3.810855106,2.592548495,-2.072728207,-4.299177237,1.067035247,1.058272613,-2.967174786,-1.03346403,0.915346834,-0.26385084,-1.123133024,-2.07868407,-3.606721848,0,,,,
strat_2b_barchart_rel_vol_change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2b_barchart_rel_vol_market_cap,0.372106055,0.674925617,-0.375306373,-0.180066855,,1.82E-14,0.229937064,-0.659653199,-0.603434168,-34.39806782,-66.1229611,0.728268895,1.586215506,-66.15111111,,0.499347754,-0.224074074,0.099214037,-2.380952381,-0.966801841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_change,-0.418910832,0.627044587,-0.397747429,-0.680942001,-0.028674378,1.82E-14,-0.089103387,-1.118276818,0.115438555,0.426681592,2.762431034,1.03866524,,-0.143329507,,,,0.136321195,-0.79126223,-0.858996712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strat_2c_barchart_mid_day_rel_vol_market_cap,-0.138414186,0.618793807,-0.619867215,-0.220894262,0.106691953,1.82E-14,-0.141039823,-0.927337177,-0.046110561,0.037784484,0.155004429,0.042308699,-0.403092467,-0.345741085,0.376126945,0.598155199,0.252505447,-0.67756472,0.040399785,-0.813240904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
