,ticker_search,ticker,company
0,ARE,ARE.TO,AECON GROUP INC
1,AEM,AEM.TO,AGNICO EAGLE MINES LIMITED
2,AC,AC.TO,AIR CANADA
3,AGI,AGI.TO,ALAMOS GOLD INC CLS A
4,AQN,AQN.TO,ALGONQUIN POWER AND UTILITIES C
5,ATD,ATD.TO,ALIMENTATION COUCHE-TARD INC
6,AP-UN,AP-UN.TO,ALLIED PROPERTIES REAL ESTATE I
7,ALA,ALA.TO,ALTAGAS LTD.
8,AIF,AIF.TO,ALTUS GROUP LIMITED
9,ARX,ARX.TO,ARC RESOURCES LTD.
10,ATZ,ATZ.TO,ARITZIA INC
11,AX-UN,AX-UN.TO,ARTIS REAL ESTATE INVESTMENT TR
12,ACO-X,ACO-X.TO,"ATCO LTD., CL.I, NV"
24,BIR,BIR.TO,BIRCHCLIFF ENERGY LTD.
25,BB,BB.TO,BLACKBERRY LIMITED
26,BEI-UN,BEI-UN.TO,BOARDWALK REAL ESTATE INVESTMEN
27,BBD-B,BBD-B.TO,"BOMBARDIER INC., CL. B, SV"
28,BLX,BLX.TO,BORALEX INC.
29,BYD,BYD.TO,BOYD GROUP SERVICES INC
35,DOO,DOO.TO,BRP INC
36,CAE,CAE.TO,CAE INC
37,CCO,CCO.TO,CAMECO CORP
38,CF,CF.TO,CANACCORD GENUITY GROUP INC
39,GOOS,GOOS.TO,CANADA GOOSE HOLDINGS INC
40,CAR-UN,CAR-UN.TO,CDN APARTMENT UN
41,CM,CM.TO,CANADIAN IMPERIAL BANK OF COMME
42,CNR,CNR.TO,CANADIAN NATIONAL RAILWAY CO.
43,CNQ,CNQ.TO,CDN NATURAL RES
44,CP,CP.TO,CANADIAN PACIFIC RAILWAY LIMITE
45,CTC-A,CTC-A.TO,"CANADIAN TIRE CORPORATION, CL. "
46,CU,CU.TO,"CANADIAN UTILITIES LTD., CL.A, "
47,CWB,CWB.TO,CDN WESTERN BANK
48,CFP,CFP.TO,CANFOR CORP
49,WEED,WEED.TO,CANOPY GROWTH CORPORATION
50,CPX,CPX.TO,CAPITAL POWER CORPORATION
