,,Symbol,Name,Last,Industry,Change,"Market Cap, $K",Volume,Prev Vol,Links
0,,ABST.TO,Absolute Software Corp,15.82,TSX Software - Application,+2.62,673706,"453,468","89,883",
1,,AC.TO,Air Canada,18.18,TSX Indices Industrials,+0.27,6411210,"1,507,948","1,476,947",
2,,ACB.TO,Aurora Cannabis Inc,2.02,TSX Drug Specialty & Generic,+0.18,547854,"2,522,644","1,523,282",
3,,ACQ.TO,Autocanada Inc,31.17,TSX Auto & Truck Dealerships,+1.74,781740,"71,571","36,182",
4,,AD-UN.TO,Alaris Equity Partners Income Trust,17.62,TSX Asset Management,+0.29,784709,"37,495","29,971",
5,,AFN.TO,Ag Growth International Inc,41.34,TSX Farm & Construction Equipt,+1.00,761996,"73,372","62,004",
6,,AIF.TO,Altus Group Ltd,52.91,TSX Real Estate Services,+1.00,2315869,"45,089","26,205",
7,,AKE.TO,Orocobre Limited,12.47,TSX Industrial Metals Minerals,+0.45,7504730,"92,011","77,933",
8,,AQN.TO,Algonquin Power and Utilities Corp,18.56,TSX Indices 60 Index,+0.14,12485484,"1,039,700","848,915",
9,,ARE.TO,Aecon Group Inc,11.38,TSX Engineering & Construction,+0.28,676600,"296,046","187,616",
10,,ASTL.TO,Algoma Steel Group Inc,12.71,TSX Steel,+0.63,1273279,"393,095","319,657",
11,,BHC.TO,Bausch Health Companies Inc,6.84,TSX Drug Specialty & Generic,+0.03,2463371,"1,231,650","1,133,220",
12,,BIP-UN.TO,Brookfield Infra Partners LP Units,55.96,TSX Utilities Diversified,+0.34,25479522,"366,735","267,535",
13,,BLDP.TO,Ballard Power Systems Inc,10.42,TSX Specialty Industrial Machine,+0.85,2853476,"1,041,894","686,697",
14,,BLU.TO,Bellus Health Inc,15.08,TSX Biotechnology,+0.81,1795065,"150,469","67,833",
15,,BLX.TO,Boralex Inc,51.19,TSX Indices Utilities,+1.00,5157575,"283,455","188,139",
16,,BTO.TO,B2Gold Corp,4.39,TSX Gold,+0.08,4580297,"2,302,180","1,382,366",
17,,CAE.TO,Cae Inc,25.90,TSX Aerospace & Defense,+0.54,8059641,"855,366","760,839",
18,,CAS.TO,Cascades Inc,9.32,TSX Packaging & Containers,+0.10,929579,"166,891","148,525",
19,,CCL-A.TO,Ccl Inc Cl A,65.05,TSX Packaging & Containers,+0.78,11401245,"1,014",520,
20,,CCL-B.TO,Ccl Industries Inc Cl B NV,64.75,TSX Packaging & Containers,+0.36,11401245,"134,405","103,002",
21,,CCO.TO,Cameco Corp,35.02,TSX Indices 60 Index,+4.55,12140370,"2,736,232","838,115",
22,,CEF.TO,Sprott Physical Gold Silver Trust,21.11,TSX Asset Management,+0.09,4594789,"4,500","4,178",
23,,CEU.TO,Ces Energy Solutions Corp,2.70,TSX Oil & Gas Equipment & Srvs,+0.04,681700,"393,731","261,193",
24,,CHP-UN.TO,Choice Properties REIT,14.03,TSX REIT - Retail,+0.04,4585341,"204,943","204,141",
25,,CJ.TO,Cardinal Energy Ltd,8.85,TSX Oil & Gas E&P,+0.18,1356461,"1,161,833","765,707",
